Airport_Code,Year,TotalClaims,Claim_Type,Total_Enplanement,PctClaims
AMA,2015,1,Property Damage,341132,0.0003%
AMA,2016,2,Property Damage,334815,0.0006%
AMA,2017,4,Passenger Property Loss,334563,0.0012%
ANC,2013,19,Passenger Property Loss,2325030,0.0008%
ANC,2013,13,Property Damage,2325030,0.0006%
ANC,2014,14,Passenger Property Loss,2381826,0.0006%
ANC,2014,13,Property Damage,2381826,0.0005%
ANC,2015,17,Passenger Property Loss,2525893,0.0007%
ANC,2015,13,Property Damage,2525893,0.0005%
ANC,2016,18,Passenger Property Loss,2563524,0.0007%
ANC,2016,7,Property Damage,2563524,0.0003%
ANC,2017,17,Property Damage,2556191,0.0007%
ANC,2017,12,Passenger Property Loss,2556191,0.0005%
APN,2013,1,Passenger Property Loss,15914,0.0063%
APN,2015,1,Passenger Property Loss,10409,0.0096%
ART,2013,1,Passenger Property Loss,18818,0.0053%
ART,2016,1,Passenger Property Loss,17312,0.0058%
ART,2017,1,Property Damage,22785,0.0044%
ART,2017,1,Passenger Property Loss,22785,0.0044%
ASE,2013,1,Property Damage,206686,0.0005%
ASE,2014,2,Passenger Property Loss,217648,0.0009%
ASE,2015,3,Passenger Property Loss,233512,0.0013%
ASE,2015,1,Property Damage,233512,0.0004%
ASE,2016,3,Property Damage,254392,0.0012%
ASE,2016,2,Passenger Property Loss,254392,0.0008%
ASE,2017,3,Passenger Property Loss,244808,0.0012%
ASE,2017,2,Property Damage,244808,0.0008%
ATL,2013,176,Passenger Property Loss,45308407,0.0004%
ATL,2013,137,Property Damage,45308407,0.0003%
ATL,2013,3,Unknown,45308407,0.0000%
ATL,2013,2,Personal Injury,45308407,0.0000%
ATL,2014,176,Passenger Property Loss,46604273,0.0004%
ATL,2014,127,Property Damage,46604273,0.0003%
ATL,2014,1,Personal Injury,46604273,0.0000%
ATL,2014,1,Unknown,46604273,0.0000%
ATL,2015,167,Passenger Property Loss,49340732,0.0003%
ATL,2015,161,Property Damage,49340732,0.0003%
ATL,2015,3,Personal Injury,49340732,0.0000%
ATL,2015,1,Complaint,49340732,0.0000%
ATL,2016,201,Passenger Property Loss,50501858,0.0004%
ATL,2016,146,Property Damage,50501858,0.0003%
ATL,2016,2,Personal Injury,50501858,0.0000%
ATL,2016,2,Unknown,50501858,0.0000%
ATL,2016,1,Property Loss,50501858,0.0000%
ATL,2017,235,Passenger Property Loss,50251964,0.0005%
ATL,2017,137,Property Damage,50251964,0.0003%
ATL,2017,2,Personal Injury,50251964,0.0000%
ATL,2017,2,Unknown,50251964,0.0000%
ATL,2017,1,Passenger Theft,50251964,0.0000%
ATW,2013,1,Property Damage,246211,0.0004%
ATW,2014,2,Passenger Property Loss,249656,0.0008%
ATW,2014,1,Property Damage,249656,0.0004%
ATW,2015,1,Property Damage,258321,0.0004%
ATW,2015,1,Passenger Property Loss,258321,0.0004%
ATW,2016,1,Property Damage,270633,0.0004%
ATW,2017,1,Passenger Property Loss,281552,0.0004%
AUS,2013,38,Passenger Property Loss,4900959,0.0008%
AUS,2013,29,Property Damage,4900959,0.0006%
AUS,2013,1,Personal Injury,4900959,0.0000%
AUS,2014,45,Passenger Property Loss,5219982,0.0009%
AUS,2014,34,Property Damage,5219982,0.0007%
AUS,2014,1,Personal Injury,5219982,0.0000%
AUS,2015,30,Property Damage,5797562,0.0005%
AUS,2015,24,Passenger Property Loss,5797562,0.0004%
AUS,2016,31,Passenger Property Loss,6095545,0.0005%
AUS,2016,24,Property Damage,6095545,0.0004%
AUS,2016,1,Personal Injury,6095545,0.0000%
AUS,2017,37,Passenger Property Loss,6813171,0.0005%
AUS,2017,32,Property Damage,6813171,0.0005%
AUS,2017,1,Unknown,6813171,0.0000%
AVL,2013,5,Property Damage,342400,0.0015%
AVL,2013,4,Passenger Property Loss,342400,0.0012%
AVL,2014,3,Property Damage,382586,0.0008%
AVL,2014,1,Passenger Property Loss,382586,0.0003%
AVL,2015,3,Property Damage,393386,0.0008%
AVL,2015,2,Passenger Property Loss,393386,0.0005%
AVL,2016,4,Passenger Property Loss,416939,0.0010%
AVL,2016,1,Property Damage,416939,0.0002%
AVL,2017,3,Passenger Property Loss,478061,0.0006%
AVL,2017,1,Property Damage,478061,0.0002%
AVP,2013,4,Passenger Property Loss,216536,0.0018%
AVP,2014,2,Property Damage,214805,0.0009%
AVP,2014,1,Passenger Property Loss,214805,0.0005%
AVP,2015,1,Personal Injury,219796,0.0005%
AVP,2016,2,Property Damage,232855,0.0009%
AVP,2016,1,Passenger Property Loss,232855,0.0004%
AVP,2017,1,Passenger Property Loss,261572,0.0004%
AVP,2017,1,Property Damage,261572,0.0004%
AVP,2017,1,Missed Flight,261572,0.0004%
AZO,2013,1,Unknown,129211,0.0008%
AZO,2013,1,Property Damage,129211,0.0008%
AZO,2014,1,Passenger Property Loss,134832,0.0007%
AZO,2015,1,Passenger Property Loss,122081,0.0008%
AZO,2016,1,Property Damage,154242,0.0006%
AZO,2016,1,Passenger Property Loss,154242,0.0006%
AZO,2017,1,Passenger Property Loss,146314,0.0007%
BDL,2013,21,Passenger Property Loss,2681181,0.0008%
BDL,2013,14,Property Damage,2681181,0.0005%
BDL,2014,22,Property Damage,2913380,0.0008%
BDL,2014,20,Passenger Property Loss,2913380,0.0007%
BDL,2015,18,Passenger Property Loss,2926054,0.0006%
BDL,2015,15,Property Damage,2926054,0.0005%
BDL,2015,1,Complaint,2926054,0.0000%
BDL,2016,22,Passenger Property Loss,2982194,0.0007%
BDL,2016,14,Property Damage,2982194,0.0005%
BDL,2016,1,Personal Injury,2982194,0.0000%
BDL,2017,19,Property Damage,3164647,0.0006%
BDL,2017,17,Passenger Property Loss,3164647,0.0005%
BFD,2017,1,Property Damage,3897,0.0257%
BFF,2017,1,Property Damage,3709,0.0270%
BFL,2013,3,Passenger Property Loss,143175,0.0021%
BFL,2013,1,Property Damage,143175,0.0007%
BFL,2014,1,Passenger Property Loss,140007,0.0007%
BFL,2014,1,Property Damage,140007,0.0007%
BFL,2014,1,Compliment,140007,0.0007%
BFL,2015,2,Passenger Property Loss,120966,0.0017%
BFL,2015,1,Property Damage,120966,0.0008%
BFL,2016,1,Passenger Property Loss,100433,0.0010%
BGM,2013,3,Passenger Property Loss,95210,0.0032%
BGM,2013,1,Property Damage,95210,0.0011%
BGM,2015,1,Passenger Property Loss,77654,0.0013%
BGM,2016,1,Property Damage,68415,0.0015%
BGM,2017,1,Property Damage,33425,0.0030%
BGR,2013,2,Passenger Property Loss,315139,0.0006%
BGR,2013,1,Property Damage,315139,0.0003%
BGR,2014,3,Passenger Property Loss,317200,0.0009%
BGR,2015,2,Property Damage,273829,0.0007%
BGR,2015,1,Passenger Property Loss,273829,0.0004%
BGR,2017,2,Property Damage,302224,0.0007%
BGR,2017,2,Passenger Property Loss,302224,0.0007%
BHB,2013,1,Passenger Property Loss,10292,0.0097%
BHB,2016,1,Passenger Property Loss,10094,0.0099%
BHM,2013,8,Passenger Property Loss,1334177,0.0006%
BHM,2013,4,Property Damage,1334177,0.0003%
BHM,2013,1,Personal Injury,1334177,0.0001%
BHM,2014,10,Property Damage,1299214,0.0008%
BHM,2014,5,Passenger Property Loss,1299214,0.0004%
BHM,2015,6,Property Damage,1325897,0.0005%
BHM,2015,3,Passenger Property Loss,1325897,0.0002%
BHM,2016,8,Property Damage,1304467,0.0006%
BHM,2016,6,Passenger Property Loss,1304467,0.0005%
BHM,2017,5,Property Damage,1333967,0.0004%
BHM,2017,3,Passenger Property Loss,1333967,0.0002%
BIL,2013,5,Passenger Property Loss,387773,0.0013%
BIL,2013,2,Property Damage,387773,0.0005%
BIL,2014,1,Property Damage,420113,0.0002%
BIL,2014,1,Passenger Property Loss,420113,0.0002%
BIL,2015,4,Passenger Property Loss,420426,0.0010%
BIL,2015,1,Property Damage,420426,0.0002%
BIL,2016,6,Passenger Property Loss,423213,0.0014%
BIL,2016,3,Property Damage,423213,0.0007%
BIL,2017,2,Passenger Property Loss,415093,0.0005%
BIL,2017,2,Property Damage,415093,0.0005%
BIS,2013,1,Passenger Property Loss,238929,0.0004%
BIS,2014,1,Property Damage,248316,0.0004%
BIS,2015,2,Passenger Property Loss,262469,0.0008%
BIS,2016,2,Property Damage,273980,0.0007%
BIS,2016,1,Passenger Property Loss,273980,0.0004%
BIS,2017,1,Passenger Property Loss,275098,0.0004%
BJI,2013,2,Passenger Property Loss,22819,0.0088%
BJI,2013,1,Property Damage,22819,0.0044%
BJI,2014,2,Passenger Property Loss,23439,0.0085%
BJI,2015,1,Passenger Property Loss,24765,0.0040%
BJI,2015,1,Property Damage,24765,0.0040%
BJI,2016,1,Property Damage,25510,0.0039%
BKG,2013,2,Passenger Property Loss,,
BKG,2013,2,Property Damage,,
BLI,2013,3,Property Damage,596142,0.0005%
BLI,2013,3,Passenger Property Loss,596142,0.0005%
BLI,2014,3,Property Damage,543346,0.0006%
BLI,2014,2,Passenger Property Loss,543346,0.0004%
BLI,2015,2,Property Damage,447693,0.0004%
BLI,2016,2,Property Damage,415285,0.0005%
BLI,2016,1,Passenger Property Loss,415285,0.0002%
BLI,2017,1,Passenger Property Loss,370022,0.0003%
BLI,2017,1,Property Damage,370022,0.0003%
BLV,2013,1,Property Damage,13542,0.0074%
BLV,2014,2,Passenger Property Loss,16328,0.0122%
BLV,2015,1,Passenger Property Loss,32589,0.0031%
