Date_ID,Full_Date,Year,Month,Day,Quarter,Weekday_Name
139,19MAY2013,2013,5,19,2,Sunday
140,20MAY2013,2013,5,20,2,Monday
141,21MAY2013,2013,5,21,2,Tuesday
142,22MAY2013,2013,5,22,2,Wednesday
143,23MAY2013,2013,5,23,2,Thursday
144,24MAY2013,2013,5,24,2,Friday
145,25MAY2013,2013,5,25,2,Saturday
146,26MAY2013,2013,5,26,2,Sunday
147,27MAY2013,2013,5,27,2,Monday
148,28MAY2013,2013,5,28,2,Tuesday
149,29MAY2013,2013,5,29,2,Wednesday
150,30MAY2013,2013,5,30,2,Thursday
151,31MAY2013,2013,5,31,2,Friday
152,01JUN2013,2013,6,1,2,Saturday
153,02JUN2013,2013,6,2,2,Sunday
154,03JUN2013,2013,6,3,2,Monday
155,04JUN2013,2013,6,4,2,Tuesday
156,05JUN2013,2013,6,5,2,Wednesday
157,06JUN2013,2013,6,6,2,Thursday
158,07JUN2013,2013,6,7,2,Friday
159,08JUN2013,2013,6,8,2,Saturday
160,09JUN2013,2013,6,9,2,Sunday
161,10JUN2013,2013,6,10,2,Monday
162,11JUN2013,2013,6,11,2,Tuesday
163,12JUN2013,2013,6,12,2,Wednesday
164,13JUN2013,2013,6,13,2,Thursday
165,14JUN2013,2013,6,14,2,Friday
166,15JUN2013,2013,6,15,2,Saturday
167,16JUN2013,2013,6,16,2,Sunday
168,17JUN2013,2013,6,17,2,Monday
169,18JUN2013,2013,6,18,2,Tuesday
170,19JUN2013,2013,6,19,2,Wednesday
171,20JUN2013,2013,6,20,2,Thursday
172,21JUN2013,2013,6,21,2,Friday
173,22JUN2013,2013,6,22,2,Saturday
174,23JUN2013,2013,6,23,2,Sunday
175,24JUN2013,2013,6,24,2,Monday
176,25JUN2013,2013,6,25,2,Tuesday
177,26JUN2013,2013,6,26,2,Wednesday
178,27JUN2013,2013,6,27,2,Thursday
179,28JUN2013,2013,6,28,2,Friday
180,29JUN2013,2013,6,29,2,Saturday
181,30JUN2013,2013,6,30,2,Sunday
182,01JUL2013,2013,7,1,3,Monday
183,02JUL2013,2013,7,2,3,Tuesday
184,03JUL2013,2013,7,3,3,Wednesday
185,04JUL2013,2013,7,4,3,Thursday
186,05JUL2013,2013,7,5,3,Friday
187,06JUL2013,2013,7,6,3,Saturday
188,07JUL2013,2013,7,7,3,Sunday
189,08JUL2013,2013,7,8,3,Monday
190,09JUL2013,2013,7,9,3,Tuesday
191,10JUL2013,2013,7,10,3,Wednesday
192,11JUL2013,2013,7,11,3,Thursday
193,12JUL2013,2013,7,12,3,Friday
194,13JUL2013,2013,7,13,3,Saturday
195,14JUL2013,2013,7,14,3,Sunday
196,15JUL2013,2013,7,15,3,Monday
197,16JUL2013,2013,7,16,3,Tuesday
198,17JUL2013,2013,7,17,3,Wednesday
199,18JUL2013,2013,7,18,3,Thursday
200,19JUL2013,2013,7,19,3,Friday
201,20JUL2013,2013,7,20,3,Saturday
202,21JUL2013,2013,7,21,3,Sunday
203,22JUL2013,2013,7,22,3,Monday
204,23JUL2013,2013,7,23,3,Tuesday
205,24JUL2013,2013,7,24,3,Wednesday
206,25JUL2013,2013,7,25,3,Thursday
207,26JUL2013,2013,7,26,3,Friday
208,27JUL2013,2013,7,27,3,Saturday
209,28JUL2013,2013,7,28,3,Sunday
210,29JUL2013,2013,7,29,3,Monday
211,30JUL2013,2013,7,30,3,Tuesday
212,31JUL2013,2013,7,31,3,Wednesday
213,01AUG2013,2013,8,1,3,Thursday
214,02AUG2013,2013,8,2,3,Friday
215,03AUG2013,2013,8,3,3,Saturday
216,04AUG2013,2013,8,4,3,Sunday
217,05AUG2013,2013,8,5,3,Monday
218,06AUG2013,2013,8,6,3,Tuesday
219,07AUG2013,2013,8,7,3,Wednesday
220,08AUG2013,2013,8,8,3,Thursday
221,09AUG2013,2013,8,9,3,Friday
222,10AUG2013,2013,8,10,3,Saturday
223,11AUG2013,2013,8,11,3,Sunday
224,12AUG2013,2013,8,12,3,Monday
225,13AUG2013,2013,8,13,3,Tuesday
226,14AUG2013,2013,8,14,3,Wednesday
227,15AUG2013,2013,8,15,3,Thursday
