Airport_Code,Claim_Type,Year,TotalClaims
MCO,Property Damage,2017,173
MCO,Personal Injury,2017,8
MCO,Missed Flight,2017,3
MCO,Unknown,2017,1
MDT,Property Damage,2017,2
MDT,Passenger Property Loss,2017,2
MDW,Passenger Property Loss,2017,34
MDW,Property Damage,2017,17
MDW,Personal Injury,2017,2
MEM,Passenger Property Loss,2017,11
MEM,Property Damage,2017,9
MEM,Passenger Theft,2017,1
MFE,Property Damage,2017,3
MFE,Passenger Property Loss,2017,1
MFR,Property Damage,2017,1
MFR,Passenger Property Loss,2017,1
MGM,Property Damage,2017,1
MGM,Passenger Property Loss,2017,1
MHK,Property Damage,2017,1
MHK,Passenger Property Loss,2017,1
MHT,Passenger Property Loss,2017,5
MHT,Property Damage,2017,3
MHT,Motor Vehicle,2017,1
MIA,Passenger Property Loss,2017,211
MIA,Property Damage,2017,129
MIA,Unknown,2017,1
MIA,Motor Vehicle,2017,1
MIA,Complaint,2017,1
MKE,Property Damage,2017,12
MKE,Passenger Property Loss,2017,11
MKE,Complaint,2017,1
MKG,Passenger Property Loss,2017,1
MKK,Property Damage,2017,1
MLB,Property Damage,2017,3
MLB,Passenger Property Loss,2017,3
MLU,Property Damage,2017,1
MOB,Passenger Property Loss,2017,3
MOB,Property Damage,2017,2
MRY,Property Damage,2017,1
MSN,Property Damage,2017,9
MSN,Passenger Property Loss,2017,2
MSO,Property Damage,2017,1
MSP,Passenger Property Loss,2017,37
MSP,Property Damage,2017,35
MSP,Personal Injury,2017,1
MSP,Motor Vehicle,2017,1
MSS,Passenger Property Loss,2017,1
MSY,Passenger Property Loss,2017,38
MSY,Property Damage,2017,25
MSY,Unknown,2017,1
MTJ,Passenger Property Loss,2017,2
MWA,Passenger Property Loss,2017,2
MWA,Property Damage,2017,1
MYR,Property Damage,2017,12
MYR,Passenger Property Loss,2017,4
OAK,Passenger Property Loss,2017,35
OAK,Property Damage,2017,21
OAK,Unknown,2017,1
OAK,Personal Injury,2017,1
OGG,Property Damage,2017,24
OGG,Passenger Property Loss,2017,14
OGS,Passenger Property Loss,2017,2
OGS,Unknown,2017,1
OKC,Property Damage,2017,8
OKC,Passenger Property Loss,2017,5
OMA,Property Damage,2017,7
OMA,Passenger Property Loss,2017,5
OME,Passenger Property Loss,2017,2
ONT,Passenger Property Loss,2017,13
ONT,Property Damage,2017,12
ORD,Passenger Property Loss,2017,132
ORD,Property Damage,2017,110
ORD,Unknown,2017,2
ORD,Personal Injury,2017,1
ORD,Passenger Theft,2017,1
ORD,Missed Flight,2017,1
ORD,Complaint,2017,1
ORF,Passenger Property Loss,2017,25
ORF,Property Damage,2017,14
ORF,Unknown,2017,1
OTH,Property Damage,2017,2
PAH,Passenger Property Loss,2017,1
PBG,Property Damage,2017,1
PBI,Passenger Property Loss,2017,25
PBI,Property Damage,2017,20
PBI,Personal Injury,2017,1
PDX,Passenger Property Loss,2017,46
PDX,Property Damage,2017,29
PDX,Personal Injury,2017,2
PGD,Property Damage,2017,1
PGV,Property Damage,2017,1
PGV,Passenger Property Loss,2017,1
PHF,Property Damage,2017,2
PHL,Passenger Property Loss,2017,75
PHL,Property Damage,2017,56
PHL,Unknown,2017,1
PHL,Complaint,2017,1
PHX,Passenger Property Loss,2017,117
PHX,Property Damage,2017,87
PHX,Unknown,2017,2
PHX,Personal Injury,2017,2
PHX,Not Provided,2017,1
PHX,Missed Flight,2017,1
PIA,Property Damage,2017,3
PIA,Passenger Property Loss,2017,2
PIE,Property Damage,2017,6
PIE,Passenger Property Loss,2017,4
PIH,Property Damage,2017,1
PIT,Passenger Property Loss,2017,24
PIT,Property Damage,2017,21
PNS,Passenger Property Loss,2017,5
PNS,Property Damage,2017,3
PNS,Personal Injury,2017,1
PSC,Property Damage,2017,1
PSC,Passenger Property Loss,2017,1
PSE,Unknown,2017,1
PSE,Property Damage,2017,1
PSG,Passenger Property Loss,2017,1
PSP,Passenger Property Loss,2017,20
PSP,Property Damage,2017,7
PUB,Passenger Property Loss,2017,1
PVC,Passenger Property Loss,2017,1
PVD,Property Damage,2017,12
PVD,Passenger Property Loss,2017,12
PVD,Unknown,2017,1
PVU,Property Damage,2017,2
PVU,Passenger Property Loss,2017,1
PWM,Property Damage,2017,7
PWM,Passenger Property Loss,2017,2
RAP,Property Damage,2017,2
RDD,Property Damage,2017,3
RDM,Property Damage,2017,3
RDM,Passenger Property Loss,2017,1
RDU,Property Damage,2017,37
RDU,Passenger Property Loss,2017,28
RDU,Motor Vehicle,2017,1
RHI,Property Damage,2017,1
RIC,Passenger Property Loss,2017,11
RIC,Property Damage,2017,7
RKS,Property Damage,2017,1
RNO,Passenger Property Loss,2017,14
RNO,Property Damage,2017,9
ROA,Property Damage,2017,1
ROA,Passenger Property Loss,2017,1
ROC,Passenger Property Loss,2017,2
ROC,Property Damage,2017,1
RST,Property Damage,2017,1
RST,Personal Injury,2017,1
RST,Passenger Property Loss,2017,1
RSW,Property Damage,2017,34
RSW,Passenger Property Loss,2017,28
RSW,Unknown,2017,1
RUT,Property Damage,2017,2
SAF,Passenger Property Loss,2017,6
SAN,Passenger Property Loss,2017,62
SAN,Property Damage,2017,56
SAN,Unknown,2017,1
SAN,Personal Injury,2017,1
SAT,Passenger Property Loss,2017,14
SAT,Property Damage,2017,13
SAV,Property Damage,2017,10
SAV,Passenger Property Loss,2017,6
SAV,Passenger Theft,2017,2
SBA,Passenger Property Loss,2017,5
SBA,Property Damage,2017,1
SBN,Property Damage,2017,5
SBN,Passenger Property Loss,2017,1
SBP,Property Damage,2017,1
SCC,Passenger Property Loss,2017,1
SCE,Property Damage,2017,1
SCE,Passenger Property Loss,2017,1
SCK,Property Damage,2017,1
SDF,Property Damage,2017,11
SDF,Passenger Property Loss,2017,7
SEA,Passenger Property Loss,2017,108
SEA,Property Damage,2017,92
SEA,Unknown,2017,3
SEA,Personal Injury,2017,1
SEA,Missed Flight,2017,1
SFB,Passenger Property Loss,2017,6
SFO,Passenger Property Loss,2017,25
SFO,Property Damage,2017,16
SFO,Motor Vehicle,2017,1
SGF,Passenger Property Loss,2017,4
SGF,Property Damage,2017,1
SGF,Motor Vehicle,2017,1
SGJ,Passenger Property Loss,2017,1
SGU,Property Damage,2017,1
SGU,Passenger Property Loss,2017,1
SJC,Property Damage,2017,30
SJC,Passenger Property Loss,2017,29
SJC,Unknown,2017,3
SJC,Missed Flight,2017,1
SJU,Passenger Property Loss,2017,32
SJU,Property Damage,2017,23
SLC,Passenger Property Loss,2017,37
SLC,Property Damage,2017,29
SLC,Motor Vehicle,2017,1
SMF,Passenger Property Loss,2017,40
SMF,Property Damage,2017,27
SNA,Property Damage,2017,24
SNA,Passenger Property Loss,2017,21
SPI,Property Damage,2017,1
SPI,Passenger Property Loss,2017,1
SRQ,Passenger Property Loss,2017,2
SRQ,Property Damage,2017,1
STC,Passenger Property Loss,2017,1
STL,Property Damage,2017,25
STL,Passenger Property Loss,2017,22
STL,Personal Injury,2017,1
STL,Passenger Theft,2017,1
STS,Passenger Property Loss,2017,1
STT,Property Damage,2017,7
STT,Passenger Property Loss,2017,7
STT,Missed Flight,2017,1
SUN,Property Damage,2017,1
SWF,Property Damage,2017,3
SWF,Passenger Property Loss,2017,2
SWO,Property Damage,2017,1
SYR,Property Damage,2017,5
SYR,Passenger Property Loss,2017,4
TLH,Passenger Property Loss,2017,5
TLH,Property Damage,2017,1
TOL,Property Damage,2017,1
TOL,Passenger Property Loss,2017,1
TPA,Passenger Property Loss,2017,49
TPA,Property Damage,2017,38
TPA,Unknown,2017,1
TRI,Property Damage,2017,3
TRI,Passenger Property Loss,2017,1
TSA,Passenger Property Loss,2017,6
TSA,Property Damage,2017,3
TTN,Passenger Property Loss,2017,3
TTN,Property Damage,2017,1
TUL,Passenger Property Loss,2017,5
TUL,Property Damage,2017,4
TUL,Unknown,2017,1
TUS,Passenger Property Loss,2017,18
TUS,Property Damage,2017,10
TUS,Personal Injury,2017,1
TUS,Complaint,2017,1
TVC,Property Damage,2017,3
TVC,Passenger Property Loss,2017,1
TWF,Passenger Property Loss,2017,1
TXK,Passenger Property Loss,2017,1
TYR,Property Damage,2017,2
TYR,Passenger Property Loss,2017,1
TYS,Property Damage,2017,6
TYS,Passenger Property Loss,2017,1
UIN,Property Damage,2017,1
Unknown,Passenger Property Loss,2017,35
Unknown,Property Damage,2017,28
Unknown,Unknown,2017,16
Unknown,Motor Vehicle,2017,2
Unknown,Complaint,2017,1
VLD,Property Damage,2017,1
VPS,Passenger Property Loss,2017,3
VPS,Property Damage,2017,1
WRG,Passenger Property Loss,2017,1
XNA,Passenger Property Loss,2017,5
XNA,Property Damage,2017,3
YKM,Passenger Property Loss,2017,1
YUM,Passenger Property Loss,2017,5
ZZX,Motor Vehicle,2017,16
ZZX,Property Damage,2017,8
ZZX,Personal Injury,2017,3
