LocID,Enplanement,Year
NYL,"79,564",2017
LWS,"76,729",2017
CLL,"73,430",2017
YKM,"71,547",2017
PPG,"71,401",2017
FLG,"70,710",2017
ISN,"69,802",2017
MHK,"68,791",2017
OTZ,"67,951",2017
GRI,"66,842",2017
ACV,"65,932",2017
OME,"61,651",2017
EAT,"60,335",2017
PUW,"59,246",2017
SJT,"59,206",2017
ACT,"58,888",2017
SBY,"57,421",2017
ROW,"55,211",2017
ORH,"53,931",2017
PGV,"51,966",2017
LAW,"50,939",2017
SAW,"50,938",2017
LCH,"50,899",2017
VQS,"50,510",2017
CSG,"49,773",2017
MVY,"49,767",2017
ALW,"49,702",2017
TYR,"49,653",2017
DHN,"47,304",2017
HOM,"46,322",2017
BRW,"45,958",2017
TWF,"45,736",2017
VLD,"43,738",2017
RDD,"42,361",2017
FLO,"42,058",2017
SCC,"41,849",2017
SUX,"41,787",2017
GTR,"41,632",2017
DBQ,"40,324",2017
PIH,"40,188",2017
COD,"39,578",2017
SPS,"38,773",2017
LNY,"37,993",2017
ABY,"37,920",2017
YNG,"36,455",2017
BQK,"36,433",2017
JLN,"35,498",2017
TNI,"34,910",2017
AKN,"34,800",2017
TXK,"34,101",2017
BGM,"33,425",2017
PIR,"32,822",2017
RVR,"32,299",2017
GUC,"32,250",2017
LUK,"30,681",2017
DUT,"30,080",2017
HYA,"29,455",2017
GCC,"29,271",2017
BJI,"29,038",2017
DLG,"28,895",2017
HVN,"28,669",2017
BTM,"27,703",2017
ABR,"27,635",2017
SWO,"27,370",2017
ALO,"27,358",2017
GCK,"26,687",2017
CPX,"26,556",2017
HXD,"26,220",2017
HGR,"25,584",2017
CKB,"25,105",2017
CMX,"24,843",2017
SMX,"24,527",2017
PLN,"23,961",2017
MEI,"23,923",2017
BPT,"23,767",2017
RHI,"23,014",2017
OGS,"22,957",2017
PSG,"22,915",2017
EAU,"22,822",2017
ART,"22,785",2017
CIU,"22,261",2017
BRD,"21,383",2017
MMH,"21,352",2017
PGA,"21,347",2017
GRO,"21,214",2017
STC,"20,918",2017
PAH,"20,910",2017
LHD,"20,689",2017
OGD,"20,324",2017
OWB,"19,578",2017
GGG,"19,261",2017
DIK,"18,963",2017
SIG,"18,361",2017
IPT,"18,323",2017
MRI,"18,298",2017
CDV,"18,280",2017
RKS,"18,109",2017
IMT,"17,707",2017
BFI,"17,294",2017
EKO,"17,115",2017
WST,"17,021",2017
MKG,"17,007",2017
ESC,"16,781",2017
HOB,"16,216",2017
UNK,"16,111",2017
RKD,"16,092",2017
LAR,"16,072",2017
CDC,"15,588",2017
BID,"15,497",2017
HIB,"15,377",2017
INL,"15,278",2017
CCR,"14,517",2017
SLN,"13,850",2017
WRG,"13,160",2017
OTH,"12,971",2017
ANI,"12,735",2017
PQI,"12,735",2017
BKL,"12,024",2017
PIB,"11,726",2017
KSM,"11,528",2017
TUP,"11,441",2017
SGJ,"11,431",2017
VDZ,"11,321",2017
APN,"11,317",2017
ATY,"11,160",2017
MWA,"11,029",2017
BED,"10,956",2017
AKW,"10,923",2017
JMS,"10,917",2017
YAK,"10,886",2017
SHR,"10,876",2017
LEB,"10,383",2017
FHR,"10,359",2017
CNY,"10,032",2017
GAL,"9,664",2017
BHB,"9,509",2017
HYS,"9,460",2017
VRB,"9,110",2017
TBN,"9,078",2017
GST,"9,061",2017
PVC,"8,900",2017
WYS,"8,786",2017
SDY,"8,429",2017
DEC,"8,324",2017
MCE,"8,318",2017
RIW,"8,277",2017
ENM,"8,004",2017
CEZ,"7,890",2017
HNS,"7,864",2017
DVL,"7,767",2017
BRL,"7,759",2017
UIN,"7,709",2017
MCW,"7,502",2017
SGY,"7,380",2017
CDB,"7,338",2017
ORS,"7,223",2017
FOD,"7,140",2017
HNH,"6,820",2017
CEC,"6,802",2017
FYU,"6,799",2017
VEL,"6,615",2017
SHD,"6,605",2017
ALS,"6,494",2017
MSL,"6,490",2017
CXF,"6,345",2017
CGI,"6,321",2017
MAZ,"6,255",2017
IPL,"6,136",2017
AQH,"6,101",2017
EWB,"5,998",2017
CRQ,"5,931",2017
PRC,"5,888",2017
ILI,"5,752",2017
TVF,"5,735",2017
PDT,"5,701",2017
MGW,"5,698",2017
SVC,"5,686",2017
GLH,"5,646",2017
LUP,"5,598",2017
CDR,"5,532",2017
LMT,"5,529",2017
LWB,"5,495",2017
AUG,"5,435",2017
IWD,"5,348",2017
WLK,"5,260",2017
VAK,"5,243",2017
IIK,"5,176",2017
IRK,"5,152",2017
CVN,"5,053",2017
RUT,"5,024",2017
HPB,"5,022",2017
SLK,"4,977",2017
PHO,"4,964",2017
SOW,"4,917",2017
FOE,"4,901",2017
MSS,"4,852",2017
JBR,"4,785",2017
OOK,"4,777",2017
WTK,"4,716",2017
EAR,"4,607",2017
LNS,"4,577",2017
BVK,"4,456",2017
D76,"4,444",2017
MUE,"4,407",2017
HRO,"4,371",2017
SOV,"4,206",2017
SVA,"4,188",2017
PKB,"4,155",2017
SCM,"4,093",2017
CFK,"4,027",2017
MKL,"4,007",2017
SDP,"3,998",2017
