Airport_Code,Airport_Name,City,State,Year,totalclaims
AZO,Kalamazoo/Battle Creek International,Kalamazoo,MI,2013,2
AZO,Kalamazoo/Battle Creek International,Kalamazoo,MI,2014,1
AZO,Kalamazoo/Battle Creek International,Kalamazoo,MI,2015,1
AZO,Kalamazoo/Battle Creek International,Kalamazoo,MI,2016,2
AZO,Kalamazoo/Battle Creek International,Kalamazoo,MI,2017,1
BDL,Bradley International Airport,Windsor Locks,CT,2013,35
BDL,Bradley International Airport,Windsor Locks,CT,2014,42
BDL,Bradley International Airport,Windsor Locks,CT,2015,34
BDL,Bradley International Airport,Windsor Locks,CT,2016,37
BDL,Bradley International Airport,Windsor Locks,CT,2017,36
BFD,Bradford Regional,Bradford,PA,2017,1
BFF,West Nebraska Regional - William Heilig Field,Scottsbluff,NE,2017,1
BFL,"Meadows Field, Bakersfield Airport",Bakersfield,CA,2013,4
BFL,"Meadows Field, Bakersfield Airport",Bakersfield,CA,2014,3
BFL,"Meadows Field, Bakersfield Airport",Bakersfield,CA,2015,3
BFL,"Meadows Field, Bakersfield Airport",Bakersfield,CA,2016,1
BGM,Greater Binghamton Airport,Binghamton,NY,2013,4
BGM,Greater Binghamton Airport,Binghamton,NY,2015,1
BGM,Greater Binghamton Airport,Binghamton,NY,2016,1
BGM,Greater Binghamton Airport,Binghamton,NY,2017,1
BGR,Bangor International Airport,Bangor,ME,2013,3
BGR,Bangor International Airport,Bangor,ME,2014,3
BGR,Bangor International Airport,Bangor,ME,2015,3
BGR,Bangor International Airport,Bangor,ME,2017,4
BHB,Hancock County Bar Harbor,Bar Harbor,ME,2013,1
BHB,Hancock County Bar Harbor,Bar Harbor,ME,2016,1
BHM,Birmingham International Airport,Birmingham,AL,2013,13
BHM,Birmingham International Airport,Birmingham,AL,2014,15
BHM,Birmingham International Airport,Birmingham,AL,2015,9
BHM,Birmingham International Airport,Birmingham,AL,2016,14
BHM,Birmingham International Airport,Birmingham,AL,2017,8
BIL,"Billings, MT",Billings,MT,2013,7
BIL,"Billings, MT",Billings,MT,2014,2
BIL,"Billings, MT",Billings,MT,2015,5
BIL,"Billings, MT",Billings,MT,2016,9
BIL,"Billings, MT",Billings,MT,2017,4
BIS,Bismarck Municipal,Bismarck,ND,2013,1
BIS,Bismarck Municipal,Bismarck,ND,2014,1
BIS,Bismarck Municipal,Bismarck,ND,2015,2
BIS,Bismarck Municipal,Bismarck,ND,2016,3
BIS,Bismarck Municipal,Bismarck,ND,2017,1
BJI,"Bemidji, MN",Bemidji,MN,2013,3
BJI,"Bemidji, MN",Bemidji,MN,2014,2
BJI,"Bemidji, MN",Bemidji,MN,2015,2
