Airport_Code,Airport_Name,City,State,Year,Claim_Type,Total_Close_Amount
AIA,Alliance Municipal Airport,Alliance,NE,2017,Unknown,
AKN,King Salmon,King Salmon,AK,2017,Passenger Property Loss,
ALB,Albany International,Albany,NY,2013,Passenger Property Loss,$15.00
ALB,Albany International,Albany,NY,2013,Property Damage,"$1,056.94"
ALB,Albany International,Albany,NY,2013,Unknown,$13.91
ALB,Albany International,Albany,NY,2014,Passenger Property Loss,$92.86
ALB,Albany International,Albany,NY,2014,Property Damage,$280.94
ALB,Albany International,Albany,NY,2015,Passenger Property Loss,$299.71
ALB,Albany International,Albany,NY,2015,Property Damage,"$1,001.62"
ALB,Albany International,Albany,NY,2016,Passenger Property Loss,$0.00
ALB,Albany International,Albany,NY,2016,Property Damage,$291.09
ALB,Albany International,Albany,NY,2017,Passenger Property Loss,$10.00
ALB,Albany International,Albany,NY,2017,Property Damage,
ALO,Waterloo Municipal Airport,Waterloo,IA,2013,Passenger Property Loss,$0.00
ALO,Waterloo Municipal Airport,Waterloo,IA,2013,Property Damage,$0.00
ALO,Waterloo Municipal Airport,Waterloo,IA,2015,Passenger Property Loss,$0.00
ALW,Walla Walla Regional Airport,Walla Walla,WA,2014,Passenger Property Loss,$0.00
ALW,Walla Walla Regional Airport,Walla Walla,WA,2015,Passenger Property Loss,$0.00
ALW,Walla Walla Regional Airport,Walla Walla,WA,2015,Property Damage,$45.74
ALW,Walla Walla Regional Airport,Walla Walla,WA,2016,Passenger Property Loss,$0.00
ALW,Walla Walla Regional Airport,Walla Walla,WA,2016,Property Damage,$0.00
ALW,Walla Walla Regional Airport,Walla Walla,WA,2017,Passenger Property Loss,$0.00
AMA,Rick Husband Amarillo International Airport,Amarillo,TX,2013,Passenger Property Loss,$108.24
AMA,Rick Husband Amarillo International Airport,Amarillo,TX,2014,Passenger Property Loss,$0.00
AMA,Rick Husband Amarillo International Airport,Amarillo,TX,2014,Property Damage,
AMA,Rick Husband Amarillo International Airport,Amarillo,TX,2015,Passenger Property Loss,$0.00
AMA,Rick Husband Amarillo International Airport,Amarillo,TX,2015,Property Damage,$21.64
AMA,Rick Husband Amarillo International Airport,Amarillo,TX,2016,Property Damage,$300.00
AMA,Rick Husband Amarillo International Airport,Amarillo,TX,2017,Passenger Property Loss,$38.88
ANC,Ted Stevens Anchorage International Airport,Anchorage,AK,2013,Passenger Property Loss,"$1,519.66"
ANC,Ted Stevens Anchorage International Airport,Anchorage,AK,2013,Property Damage,"$1,038.15"
ANC,Ted Stevens Anchorage International Airport,Anchorage,AK,2014,Passenger Property Loss,$129.04
ANC,Ted Stevens Anchorage International Airport,Anchorage,AK,2014,Property Damage,$626.90
ANC,Ted Stevens Anchorage International Airport,Anchorage,AK,2015,Passenger Property Loss,$218.59
ANC,Ted Stevens Anchorage International Airport,Anchorage,AK,2015,Property Damage,$534.69
ANC,Ted Stevens Anchorage International Airport,Anchorage,AK,2016,Passenger Property Loss,$0.00
ANC,Ted Stevens Anchorage International Airport,Anchorage,AK,2016,Property Damage,$122.71
ANC,Ted Stevens Anchorage International Airport,Anchorage,AK,2017,Passenger Property Loss,$300.00
ANC,Ted Stevens Anchorage International Airport,Anchorage,AK,2017,Property Damage,$169.99
APN,Alpena County Regional Airport,Alpena,MI,2013,Passenger Property Loss,
APN,Alpena County Regional Airport,Alpena,MI,2015,Passenger Property Loss,$0.00
ART,Watertown International,Watertown,NY,2013,Passenger Property Loss,$16.00
ART,Watertown International,Watertown,NY,2016,Passenger Property Loss,
ART,Watertown International,Watertown,NY,2017,Passenger Property Loss,$0.00
ART,Watertown International,Watertown,NY,2017,Property Damage,
ASE,Aspen Pitkin County Sardy Field,Aspen,CO,2013,Property Damage,$80.00
ASE,Aspen Pitkin County Sardy Field,Aspen,CO,2014,Passenger Property Loss,$0.00
ASE,Aspen Pitkin County Sardy Field,Aspen,CO,2015,Passenger Property Loss,$445.00
ASE,Aspen Pitkin County Sardy Field,Aspen,CO,2015,Property Damage,$0.00
ASE,Aspen Pitkin County Sardy Field,Aspen,CO,2016,Passenger Property Loss,$67.12
ASE,Aspen Pitkin County Sardy Field,Aspen,CO,2016,Property Damage,$470.05
ASE,Aspen Pitkin County Sardy Field,Aspen,CO,2017,Passenger Property Loss,
ASE,Aspen Pitkin County Sardy Field,Aspen,CO,2017,Property Damage,
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,2013,Passenger Property Loss,"$5,309.70"
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,2013,Personal Injury,$0.00
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,2013,Property Damage,"$6,793.49"
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,2013,Unknown,$233.70
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,2014,Passenger Property Loss,"$11,247.37"
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,2014,Personal Injury,$112.00
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,2014,Property Damage,"$6,806.09"
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,2014,Unknown,
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,2015,Complaint,
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,2015,Passenger Property Loss,"$2,228.71"
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,2015,Personal Injury,
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,2015,Property Damage,"$14,727.68"
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,2016,Passenger Property Loss,"$6,099.36"
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,2016,Personal Injury,
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,2016,Property Damage,"$7,059.90"
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,2016,Property Loss,$5.54
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,2016,Unknown,
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,2017,Passenger Property Loss,"$1,358.46"
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,2017,Passenger Theft,
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,2017,Personal Injury,
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,2017,Property Damage,"$1,993.88"
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,2017,Unknown,
ATW,Outagamie County,Appleton,WI,2013,Property Damage,
ATW,Outagamie County,Appleton,WI,2014,Passenger Property Loss,$0.00
ATW,Outagamie County,Appleton,WI,2014,Property Damage,$223.71
ATW,Outagamie County,Appleton,WI,2015,Passenger Property Loss,$0.00
ATW,Outagamie County,Appleton,WI,2015,Property Damage,$0.00
ATW,Outagamie County,Appleton,WI,2016,Property Damage,$79.00
ATW,Outagamie County,Appleton,WI,2017,Passenger Property Loss,
AUS,Austin-Bergstrom International Airport,Austin,TX,2013,Passenger Property Loss,"$2,404.08"
AUS,Austin-Bergstrom International Airport,Austin,TX,2013,Personal Injury,$0.00
AUS,Austin-Bergstrom International Airport,Austin,TX,2013,Property Damage,"$4,501.69"
AUS,Austin-Bergstrom International Airport,Austin,TX,2014,Passenger Property Loss,$651.77
AUS,Austin-Bergstrom International Airport,Austin,TX,2014,Personal Injury,
AUS,Austin-Bergstrom International Airport,Austin,TX,2014,Property Damage,"$2,130.28"
AUS,Austin-Bergstrom International Airport,Austin,TX,2015,Passenger Property Loss,$560.07
AUS,Austin-Bergstrom International Airport,Austin,TX,2015,Property Damage,"$4,540.29"
AUS,Austin-Bergstrom International Airport,Austin,TX,2016,Passenger Property Loss,$383.72
AUS,Austin-Bergstrom International Airport,Austin,TX,2016,Personal Injury,$90.42
AUS,Austin-Bergstrom International Airport,Austin,TX,2016,Property Damage,"$2,001.95"
AUS,Austin-Bergstrom International Airport,Austin,TX,2017,Passenger Property Loss,$274.05
AUS,Austin-Bergstrom International Airport,Austin,TX,2017,Property Damage,$308.97
AUS,Austin-Bergstrom International Airport,Austin,TX,2017,Unknown,
AVL,Asheville Regional Airport,Asheville,NC,2013,Passenger Property Loss,$99.99
AVL,Asheville Regional Airport,Asheville,NC,2013,Property Damage,$50.00
AVL,Asheville Regional Airport,Asheville,NC,2014,Passenger Property Loss,$0.00
AVL,Asheville Regional Airport,Asheville,NC,2014,Property Damage,$404.25
AVL,Asheville Regional Airport,Asheville,NC,2015,Passenger Property Loss,$102.71
